Qu_1_a,Qu_1_b,Qu_1_c,Qu_1_d,Qu_2_a,Qu_2_b,Qu_2_c,Qu_2_d,Qu_3_a,Qu_3_b,Qu_3_c,Qu_3_d,Qu_4_a,Qu_4_b,Qu_4_c,Qu_4_d,Qu_5,Qu_6,Qu_7,Qu_8,Qu_9,Qu_10,Qu_11,Qu_12,Qu_13,Qu_14_a,Qu_14_b,Qu_15_a,Qu_15_b,Qu_15_c,Qu_15_d
2,2,3,2,2,2,6,5,1,1,2,2,3,3,3,3,Thailand,Thailand,Female,25,Pg Student,Master&#039;s Degree,Low,Low,Yes,4,1,3,5,3,3
2,2,2,2,3,2,7,3,2,2,3,3,3,2,3,2,Uk,Uk,Female,22,Sales Consultant,College/University Degree,Low,High,No,7,7,1,3,1,1
4,4,3,3,4,3,7,3,3,3,7,3,5,5,5,5,United Kingdom,United Kingdom,Male,23,Teacher,College/University Degree,Medium,Medium,No,7,7,2,2,2,2
6,5,2,5,4,5,7,6,4,5,7,6,1,2,2,1,"Taiwan, Province Of China","Taiwan, Province Of China",Female,28,Manger,Master's Degree,Medium,High,No,7,6,1,3,2,3
2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,China,China,Female,34,Finance,College/University Degree,Low,Medium,No,6,7,5,1,1,1
4,1,2,6,1,6,4,5,3,6,4,6,2,3,5,5,Brazil,Brazil,Male,20,Student,Some College,Medium,Medium,Yes,3,1,4,4,2,4
4,4,1,5,1,1,7,4,1,1,7,1,3,1,6,7,Lithuania,Lithuania,Female,21,Ft Student/Sales Assistant,High School/Secondary School,Medium,Very Low,No,7,5,1,2,1,1
3,2,2,3,6,6,7,3,3,3,7,3,5,4,6,3,United Kingdom,Bangladesh,Male,32,Doctor,Doctoral Degree,High,Medium,Yes,4,6,2,2,1,2
2,3,2,2,2,3,3,2,2,3,3,3,2,3,2,3,Turkey,Turkey,Male,24,Student,College/University Degree,Medium,Medium,No,1,1,2,2,1,1
3,3,3,2,3,2,6,3,3,2,6,2,3,3,6,3,China,China,Female,37,Salesman,College/University Degree,Medium,Medium,No,6,6,2,1,1,1
5,4,3,4,5,5,6,5,5,4,6,5,3,3,6,5,China,China,Male,25,Technician,University,Medium,Medium,No,7,7,2,5,2,5
2,2,2,1,7,3,7,7,2,2,3,7,7,2,1,3,South Africa,South Africa,Female,49,Senior Manager,Master&amp;rsquo;s Degree,Medium,Medium,No,7,2,1,5,1,1
7,3,2,4,5,3,4,3,6,4,5,6,5,3,3,5,Philippines,Philippines,Male,23,Technition,College/University Degree,Low,Medium,Yes,3,1,5,3,4,6
1,1,1,6,1,2,7,1,1,2,,2,1,6,6,6,South Africa,South Africa,Female,20,Student,High School/Secondary School&amp,Low,Medium,Yes,2,1,1,4,1,1
2,2,1,1,3,1,7,1,2,1,3,1,3,3,1,2,United States,United States,Female,40,Information Technology,College/University Degree&amp;am,High,High,No,7,7,1,1,1,1
4,4,2,1,6,2,7,2,2,2,4,2,1,7,3,2,Greece,Greece,Female,24,Postgraduate Student,College/University Degree,Ver Low,Ver Low,Yes,4,1,1,2,1,1
3,3,3,3,3,3,3,3,3,2,4,3,4,4,3,3,Hong Kong,Hong Kong,Male,22,Student,MasterÕs Degree,Medium,Medium,No,3,4,4,1,1,1
2,2,2,2,2,1,3,2,2,2,3,2,2,5,5,3,China,China,Male,24,Student,College/University Degree,Low,Medium,No,6,6,2,2,1,2
1,1,1,2,1,1,3,2,1,1,3,2,3,2,1,2,Brazil,Brazil,Male,22,Student,Some College Ê,Low,Medium,No,7,7,5,6,3,1
1,1,1,1,3,2,4,3,1,1,1,1,2,4,3,4,China,China,Male,25,Student,MasterÕs Degree,High,High,Yes,2,4,7,4,3,3
4,4,2,2,2,2,2,2,2,2,4,2,2,2,4,3,China,China,Female,24,Dining,University,Medium,Medium,No,7,7,2,2,2,2
3,2,1,1,3,3,7,3,2,2,4,2,3,1,2,2,United Kingdom,United Kingdom,Male,20,Student,College/University Degree,Medium,High,Yes,2,1,2,3,1,1
5,4,2,5,5,4,4,5,5,5,4,5,5,2,2,1,India,India,Female,20,Part-Time Job,Some College&amp;amp;nbsp;&amp;a,Medium,Medium,Yes,2,1,4,4,1,1
4,2,2,2,2,3,4,2,2,3,5,4,2,4,5,3,Philippines,Philippines,Female,27,Team Manager,College/University Degree,Low,Low,Yes,1,1,1,3,1,1
1,1,1,1,6,3,6,6,2,2,6,2,5,5,3,5,United Kingdom,United Kingdom,Female,23,Insight Analyst,College/University Degree,High,High,Yes,1,1,1,4,1,1
1,3,2,3,4,3,7,3,4,3,7,3,3,2,2,2,United Kingdom,United Kingdom,Male,21,Student,High School,Low,Low,No,7,7,3,5,2,3
6,2,1,7,7,3,7,7,2,2,6,2,2,1,4,1,United Kingdom,United Kingdom,Female,21,Student,College/University Degree,Low,Low,No,7,7,1,1,1,1
2,2,1,7,2,1,5,4,1,2,3,3,3,4,3,3,United Kingdom,United Kingdom,Female,22,Student,College/University Degree,Very Low,Medium,Yes,4,4,1,2,1,1
2,3,2,2,5,2,7,7,4,3,7,7,4,2,7,3,China,China,Female,22,Student,Master's Degree,Medium,Medium,No,7,6,2,1,1,1
6,2,2,2,2,2,4,2,2,2,3,2,3,2,3,5,France,France,Female,23,Postgraduate Student,College/University Degree,Medium,Low,No,7,7,2,2,1,1
6,2,2,1,2,3,1,2,1,2,4,3,2,3,4,2,South Africa,South Africa,Female,19,Student,High School/Secondary School&amp,Low,Medium,Yes,4,1,1,1,1,1
3,2,2,3,4,2,3,3,2,2,3,2,2,2,2,3,Philippines,Philippines,Male,30,Ites,College/University Degree,Medium,High,Yes,3,4,5,5,6,6
2,3,1,5,7,7,5,6,3,4,6,3,4,1,1,2,China,China,Female,23,Student,College/University Degree,Low,Low,No,6,7,5,4,5,4
4,3,3,3,3,2,5,3,3,2,5,3,2,2,4,2,United Kingdom,United Kingdom,Male,29,Manager,College/University Degree,Medium,Medium,Yes,3,2,1,1,1,1
2,2,2,1,1,4,2,2,1,3,3,2,2,4,1,3,Greece,Greece,Male,24,Student,MasterÕs Degree,Low,Low,No,6,7,2,4,2,4
2,2,3,4,3,4,4,5,5,4,5,7,4,5,5,4,Philippines,Philippines,Male,20,Student,College/University Degree,Medium,Low,Yes,4,3,6,6,5,6
1,1,4,5,4,6,6,6,4,4,6,4,3,1,3,4,Japan,Japan,Female,25,Student,Master Degree,Medium,High,No,7,7,1,2,2,3
4,4,2,3,3,3,3,3,4,5,4,4,1,3,5,4,China,China,Male,23,Student,College/University Degree,Medium,Medium,No,1,1,3,1,2,5
1,1,1,1,1,3,5,1,1,2,3,2,1,1,2,1,South Africa,South Africa,Female,36,Lecturer,Master&amp;rsquo;s Degree,High,High,Yes,2,1,1,1,1,1
1,1,1,4,2,2,2,7,2,3,7,3,2,2,4,3,United States,United States,Female,26,Student,College/University Degree,Medium,High,Yes,3,1,1,2,1,1
7,1,1,1,3,2,2,2,1,1,1,1,1,4,4,2,South Africa,South Africa,Female,19,Student,High School/Secondary School&amp,Medium,Medium,Yes,1,1,1,1,1,1
2,3,3,5,7,7,5,6,3,4,6,3,4,1,1,2,China,China,Female,23,Student,College/University Degree,Low,Low,No,6,7,5,4,5,4
3,4,3,5,3,4,4,4,3,4,5,3,3,3,5,6,China,China,Male,18,Student,Master Degree,Low,Low,No,1,1,6,1,1,4
4,1,2,6,1,6,4,5,3,6,4,6,2,3,5,5,Brazil,Brazil,Male,20,Student,Some College,Medium,Medium,Yes,3,1,4,4,2,4
1,1,1,4,2,2,2,7,2,3,7,3,2,2,4,3,United States,United States,Female,26,Student,College/University Degree,Medium,High,Yes,,,,,,
1,1,1,1,3,2,6,2,2,2,3,1,2,1,3,1,Brazil,Brazil,Male,20,Student,Some College Ê,Very Low Ê,Medium,No,6,1,2,2,2,1
6,5,6,3,6,5,7,6,6,4,3,5,5,3,6,5,United Kingdom,United Kingdom,Male,26,Student,Master Degree,Medium,Medium,Yes,5,5,6,1,2,2
3,5,2,1,1,1,2,4,2,2,2,2,3,3,3,1,United Kingdom,United Kingdom,Male,22,Student,College/University Degree,Very High,Very High,No,7,5,2,1,1,2
2,1,1,1,7,2,7,3,2,1,6,3,5,2,3,1,United Kingdom,United Kingdom,Female,37,Bank Clerk,College/University Degree,Medium,High,No,7,7,1,5,1,1
1,2,2,1,3,3,7,3,2,2,4,2,5,5,3,5,South Africa,South Africa,Male,66,Academic Research,Doctoral Degree&amp;nbsp;&amp;nb,High,High,No,7,7,1,1,1,1
3,1,1,1,2,2,7,2,1,1,3,2,3,2,2,1,United Kingdom,United Kingdom,Female,19,Student,College/University Degree,Very Low,High,Yes,4,1,1,3,1,2
3,2,1,2,3,2,7,3,6,2,6,3,3,2,2,1,Nigeria,Nigeria,Female,19,Student,High School/Secondary School,Low,Low,Yes,2,1,3,6,2,5
2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,Ghana,Ghana,0,30,Student,2,2,1,Yes,4,1,6,1,1,1
,,,,3,5,6,3,3,4,5,3,3,6,6,3,India,India,Female,31,Teaching,Master&amp;amp;rsquo;s Degree,Medium,Medium,Yes,2,1,2,2,1,1
3,3,2,3,3,3,5,3,3,4,5,5,3,4,5,3,Philippines,Philippines,Female,40,Part Time Tutor,Some College,Medium,Medium,Yes,2,1,2,3,1,1
2,1,1,1,4,2,7,2,2,3,7,3,3,3,7,3,Canada,Canada,Male,34,Teacher,College/University Degree,Low,Low,No,7,7,2,4,1,2
2,1,2,1,1,3,2,2,1,3,3,2,1,4,2,2,China,China,Male,23,Student,Doctoral Degree,Low,High,No,7,7,4,3,4,3
3,2,2,1,2,2,6,3,2,2,3,4,2,1,1,2,United States,United States,Female,60,Retired School Counselor,Master&amp;amp;rsquo;s Degree,Low,Medium,Yes,7,3,1,2,1,1
6,2,2,2,3,2,7,3,2,2,4,3,3,1,2,3,South Africa,South Africa,Male,32,It Management,College/University Degree&amp;nb,High,High,Yes,5,1,1,2,1,1
3,2,2,2,2,4,2,5,3,3,2,4,2,5,5,4,Philippines,Philippines,Male,42,Manager,College/University Degree,Medium,Medium,Yes,2,1,1,1,1,1
2,3,2,2,4,3,6,3,3,2,6,3,3,2,3,2,United Kingdom,United Kingdom,Female,22,Student,MasterÕs Degree,Low,High,Yes,2,2,2,2,2,2
1,1,2,3,1,2,2,2,1,4,7,2,1,2,7,4,China,China,Male,24,Student,4,3,3,Yes,3,3,1,1,1,1
2,2,2,2,3,3,7,3,2,2,7,3,1,1,5,2,United States,United States,Female,,Education,MasterÕs Degree,Medium,Medium,Yes,4,1,3,3,2,1
6,2,1,1,3,2,5,2,1,2,4,2,2,2,1,2,Brazil,Brazil,Male,24,University Staff,College/University DegreeÊ,Medium,Medium,Yes,2,2,1,1,1,1
6,3,2,2,3,4,7,7,2,3,6,7,2,4,7,7,China,China,Female,26,Student,College/University Degree,Low,Low,No,6,6,2,2,2,2
2,3,3,3,3,1,2,4,3,1,2,2,2,3,3,2,Viet Nam,Viet Nam,Male,26,Student,Master's Degree,Very Low,Low,No,7,7,3,4,1,2
6,3,1,2,3,3,7,3,2,2,6,6,3,2,3,2,Brazil,Brazil,Female,27,Student,College/University Degree,Low,Medium,No,7,1,2,6,7,7
2,1,1,1,1,1,7,1,1,1,2,3,1,1,3,4,Nigeria,Nigeria,Female,48,Nursing,MasterÕs Degree,Medium,Medium,Yes,1,1,1,1,1,1
2,1,1,2,2,3,7,7,2,3,4,2,2,5,3,3,Lebanon,Canada,Female,24,Sales,College/University Degree,Medium,High,Yes,4,1,1,1,1,1
2,2,2,2,2,5,7,2,2,2,4,2,2,2,4,2,China,China,Male,21,Student,University,Very Low,Medium,No,5,7,1,1,1,1
5,5,3,4,4,5,3,3,6,4,4,7,5,2,4,2,United States,United States,Male,30,Computer Technician,College/University Degree&amp;am,Medium,Medium,No,7,7,2,1,1,1
4,3,3,3,4,3,7,4,4,3,,4,2,2,2,3,Philippines,Philippines,Female,35,Home Maker,College/University Degree,Medium,High,Yes,2,1,3,3,2,3
1,1,1,1,7,1,2,2,2,1,2,1,1,1,2,1,Brazil,Brazil,Female,24,Assistant Designer,College/University DegreeÊ,Low,High,No,7,7,2,2,2,1
1,1,1,1,1,1,3,2,2,1,2,2,3,2,3,2,Brazil,Brazil,Male,38,,College/University DegreeÊ,Low,High,No,6,7,1,3,1,1
3,3,3,5,5,3,3,4,4,2,2,5,3,2,3,4,China,China,Female,22,Student,Master Degree,Medium,Medium,No,1,1,7,1,1,4
2,3,2,2,2,2,5,3,2,2,4,3,1,3,2,2,China,China,Female,34,Teacher,College/University Degree,Medium,Medium,No,7,7,2,2,1,1
2,2,2,2,3,5,7,3,2,3,4,2,1,1,2,2,United Kingdom,United Kingdom,Male,21,Student,Some College,Very Low,High,No,7,7,1,2,1,2
5,5,4,4,4,5,5,5,3,6,6,7,5,6,6,5,Sweden,Sweden,Male,25,Student,College/University Degree,Medium,Medium,Yes,1,1,5,2,2,4
1,2,2,3,3,3,4,4,2,2,2,2,1,2,2,2,China,China,1,23,Student,4,3,3,1,7,6,3,5,4,4
3,3,1,1,1,2,4,2,2,2,4,1,2,2,3,1,China,China,2,24,Student,3,3,3,0,4,4,1,1,1,2
